,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
UK03208_01.h1,0,0,0,0,0,0,0,0,0,1
UK03208_01.h2,0,0,0,0,0,0,0,0,0,1
UK03208_02.h1,0,0,0,0,0,0,0,0,0,1
UK03208_02.h2,0,0,0,0,0,0,0,0,0,1
UK03208_03.h1,0,0,0,0,0,0,0,0,0,1
UK03208_03.h2,0,0,0,0,0,0,0,0,0,1
UK03208_04.h1,0,0,0,0,0,0,0,0,0,1
UK03208_04.h2,0,0,0,0,0,0,0,0,0,1
UK03208_05.h1,0,0,0,0,0,0,0,0,0,1
UK03208_05.h2,0,0,0,1,0,0,0,0,0,0
UK03208_06.h1,0,0,0,0,0,0,0,0,0,1
UK03208_06.h2,0,0,0,0,0,0,0,0,0,1
UK03208_07.h1,0,0,0,0,0,0,0,0,0,1
UK03208_07.h2,0,0,0,0,0,0,0,0,0,1
UK03208_08.h1,0,0,0,0,0,0,0,0,0,1
UK03208_08.h2,0,0,0,0,0,0,0,0,0,1
UK03208_09.h1,0,0,0,0,0,0,0,0,0,1
UK03208_09.h2,0,0,0,0,0,0,0,0,0,1
UK03208_10.h1,1,0,0,0,0,0,0,0,0,0
UK03208_10.h2,0,0,0,0,0,0,0,0,0,1
UK03208_11.h1,0,0,0,0,0,0,0,0,0,1
UK03208_11.h2,0,0,0,0,0,0,0,0,0,1
UK03208_12.h1,1,0,0,0,0,0,0,0,0,0
UK03208_12.h2,0,0,0,0,0,0,0,0,0,1
UK03208_13.h1,0,0,0,0,0,0,0,0,0,1
UK03208_13.h2,0,0,0,0,0,0,0,0,0,1
UK03208_14.h1,0,0,0,0,0,0,0,0,0,1
UK03208_14.h2,0,0,0,0,0,0,0,0,0,1
UK03208_15.h1,0,0,0,0,0,0,0,0,0,1
UK03208_15.h2,0,0,0,0,0,0,0,0,0,1
UK03208_16.h1,1,0,0,0,0,0,0,0,0,0
UK03208_16.h2,0,0,0,0,0,0,0,0,0,1
UK03208_17.h1,0,0,0,0,0,0,0,0,0,1
UK03208_17.h2,0,0,0,0,0,0,0,0,0,1
UK03208_18.h1,0,0,0,0,0,0,0,0,0,1
UK03208_18.h2,0,0,0,0,0,0,0,0,0,1
UK03208_19.h1,0,0,0,0,0,0,0,0,0,1
UK03208_19.h2,0,0,0,0,0,0,0,0,0,1
UK03208_20.h1,0,0,0,0,0,0,0,0,0,1
UK03208_20.h2,0,0,0,0,0,0,0,0,0,1
UK03208_21.h1,1,0,0,0,0,0,0,0,0,0
UK03208_21.h2,0,0,0,0,0,0,0,0,0,1
UK03208_22.h1,1,0,0,0,0,0,0,0,0,0
UK03208_22.h2,0,0,0,0,0,0,0,0,0,1
UK03208_23.h1,0,0,0,0,0,0,0,0,0,1
UK03208_23.h2,0,0,0,0,0,0,0,0,0,1
UK03208_24.h1,0,0,0,0,0,0,0,0,0,1
UK03208_24.h2,0,0,0,0,0,0,0,0,0,1
