,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
UK01630_01.h1,0,0,0,0,0,0,0,0,0,1
UK01630_01.h2,0,0,0,0,0,0,0,0,0,1
UK01630_02.h1,0,0,0,0,0,0,0,0,0,1
UK01630_02.h2,0,0,0,0,0,0,0,0,0,1
UK01630_03.h1,0,0,0,0,0,0,0,0,0,1
UK01630_03.h2,0,0,0,0,0,0,0,0,0,1
UK01630_04.h1,0,0,0,0,0,0,0,0,0,1
UK01630_04.h2,0,0,0,0,0,0,0,0,0,1
UK01630_05.h1,0,0,0,0,0,0,0,0,0,1
UK01630_05.h2,0,0,0,0,0,0,0,0,0,1
UK01630_07.h1,0,0,0,0,0,0,0,0,0,1
UK01630_07.h2,0,0,0,0,0,0,0,0,0,1
UK01630_08.h1,0,0,0,0,0,0,0,0,0,1
UK01630_08.h2,0,0,0,0,0,0,0,0,0,1
UK01630_09.h1,0,0,0,0,0,0,0,0,0,1
UK01630_09.h2,0,0,0,0,0,0,0,0,0,1
UK01630_10.h1,0,0,0,0,0,0,0,0,0,1
UK01630_10.h2,0,0,0,0,0,0,0,0,0,1
UK01630_11.h1,0,0,0,0,0,0,0,0,0,1
UK01630_11.h2,0,0,0,0,0,0,0,0,0,1
UK01630_12.h1,0,0,0,0,0,0,0,0,0,1
UK01630_12.h2,0,0,0,0,0,0,0,0,0,1
UK01630_14.h1,0,0,0,0,0,0,0,0,0,1
UK01630_14.h2,0,0,0,0,0,0,0,0,0,1
UK01630_15.h1,0,0,0,0,0,0,0,0,0,1
UK01630_15.h2,0,0,0,0,0,0,0,0,0,1
UK01630_16.h1,0,0,0,0,0,0,0,0,0,1
UK01630_16.h2,0,0,0,0,0,0,0,0,0,1
UK01630_17.h1,0,0,0,0,0,0,0,0,0,1
UK01630_17.h2,0,0,0,0,0,0,0,0,0,1
UK01630_19.h1,0,0,0,0,0,0,0,0,0,1
UK01630_19.h2,0,0,0,0,0,0,0,0,1,0
UK01630_20.h1,0,0,0,0,0,0,0,0,0,1
UK01630_20.h2,0,0,0,0,0,0,0,0,0,1
UK01630_21.h1,0,1,0,0,0,0,0,0,0,0
UK01630_21.h2,0,0,0,0,0,0,0,0,0,1
UK01630_22.h1,0,0,0,0,0,0,0,0,0,1
UK01630_22.h2,0,0,0,0,0,0,0,0,0,1
UK01630_23.h1,0,0,0,0,0,0,0,0,0,1
UK01630_23.h2,0,0,0,0,0,0,0,0,0,1
UK01630_24.h1,0,0,0,0,0,0,0,0,0,1
UK01630_24.h2,0,0,0,0,0,0,0,0,0,1
