,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
UK02013_04.h1,0,0,0,0,0,0,0,0,0,1
UK02013_04.h2,0,0,0,0,0,0,0,0,0,1
UK02013_05.h1,0,0,0,0,0,0,0,0,0,1
UK02013_05.h2,0,0,0,0,0,0,0,0,0,1
UK02013_06.h1,0,0,0,0,0,0,0,0,0,1
UK02013_06.h2,0,0,0,0,0,0,0,0,0,1
UK02013_07.h1,0,0,0,0,0,0,0,0,0,1
UK02013_07.h2,0,0,0,0,0,0,0,0,0,1
UK02013_08.h1,0,0,0,0,0,0,0,0,0,1
UK02013_08.h2,0,0,0,0,0,0,0,0,0,1
UK02013_09.h1,0,0,0,0,0,0,0,0,0,1
UK02013_09.h2,0,0,0,0,0,0,0,0,0,1
UK02013_11.h1,0,0,0,0,0,0,0,0,0,1
UK02013_11.h2,0,0,0,0,0,0,0,0,0,1
UK02013_12.h1,0,0,0,0,0,0,0,0,0,1
UK02013_12.h2,0,0,0,0,0,0,0,0,0,1
UK02013_13.h1,0,0,0,0,0,0,0,0,0,1
UK02013_13.h2,0,0,0,0,0,0,0,0,0,1
UK02013_14.h1,0,0,0,0,0,0,0,0,0,1
UK02013_14.h2,0,0,0,0,0,0,0,0,0,1
UK02013_15.h1,0,0,0,0,0,0,0,0,0,1
UK02013_15.h2,0,0,0,0,0,0,0,0,0,1
UK02013_16.h1,0,0,0,0,0,0,0,0,0,1
UK02013_16.h2,0,0,0,0,0,0,0,0,0,1
UK02013_17.h1,0,0,0,0,0,0,0,0,0,1
UK02013_17.h2,0,0,0,0,0,0,0,0,0,1
UK02013_19.h1,0,0,0,0,0,0,0,0,0,1
UK02013_19.h2,0,0,0,0,0,0,0,0,0,1
UK02013_20.h1,0,0,0,0,0,0,0,0,0,1
UK02013_20.h2,0,0,0,0,0,0,0,0,0,1
UK02013_21.h1,0,0,0,0,0,0,0,0,0,1
UK02013_21.h2,0,0,0,0,0,0,0,0,0,1
UK02013_22.h1,0,0,0,0,0,0,0,0,0,1
UK02013_22.h2,0,0,0,0,0,0,0,0,0,1
UK02013_23.h1,0,0,0,0,0,0,0,0,0,1
UK02013_23.h2,0,0,0,0,0,0,0,0,0,1
UK02013_24.h1,0,0,0,0,0,0,0,0,0,1
UK02013_24.h2,0,0,0,0,0,0,0,0,0,1
