,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
BE01364_01.h1,1,0,0,0,0,0,0,0,0,0
BE01364_01.h2,1,0,0,0,0,0,0,0,0,0
BE01364_02.h1,0,0,0,0,0,0,0,0,1,0
BE01364_02.h2,1,0,0,0,0,0,0,0,0,0
BE01364_03.h1,0,0,0,0,0,0,0,0,0,1
BE01364_03.h2,1,0,0,0,0,0,0,0,0,0
BE01364_04.h1,0,0,0,0,0,0,0,0,1,0
BE01364_04.h2,0,0,0,0,0,1,0,0,0,0
BE01364_05.h1,1,0,0,0,0,0,0,0,0,0
BE01364_05.h2,1,0,0,0,0,0,0,0,0,0
BE01364_06.h1,0,0,0,0,0,0,0,0,1,0
BE01364_06.h2,0,0,0,0,0,0,0,0,1,0
BE01364_07.h1,0,0,0,0,0,0,0,0,1,0
BE01364_07.h2,1,0,0,0,0,0,0,0,0,0
BE01364_08.h1,0,0,0,0,0,0,0,0,0,1
BE01364_08.h2,1,0,0,0,0,0,0,0,0,0
BE01364_09.h1,0,0,0,0,0,0,0,0,0,1
BE01364_09.h2,0,0,0,0,0,0,0,0,1,0
BE01364_10.h1,0,0,0,0,0,0,0,0,1,0
BE01364_10.h2,0,1,0,0,0,0,0,0,0,0
BE01364_11.h1,0,0,0,0,0,0,0,0,0,1
BE01364_11.h2,0,0,0,0,0,0,0,0,1,0
BE01364_12.h1,0,0,0,0,0,0,0,0,1,0
BE01364_12.h2,0,0,0,0,0,0,0,0,0,1
BE01364_13.h1,0,0,0,0,0,0,0,0,1,0
BE01364_13.h2,0,0,0,0,0,0,0,0,1,0
BE01364_14.h1,0,0,0,0,0,0,0,0,1,0
BE01364_14.h2,0,0,0,0,0,0,0,0,1,0
BE01364_15.h1,0,0,0,0,0,0,0,0,0,1
BE01364_15.h2,0,0,0,0,0,0,0,0,1,0
BE01364_16.h1,0,0,0,0,0,0,0,0,0,1
BE01364_16.h2,1,0,0,0,0,0,0,0,0,0
BE01364_17.h1,1,0,0,0,0,0,0,0,0,0
BE01364_17.h2,1,0,0,0,0,0,0,0,0,0
BE01364_18.h1,0,1,0,0,0,0,0,0,0,0
BE01364_18.h2,1,0,0,0,0,0,0,0,0,0
BE01364_19.h1,0,0,0,0,0,0,0,0,1,0
BE01364_19.h2,0,0,0,0,0,0,0,0,1,0
BE01364_20.h1,1,0,0,0,0,0,0,0,0,0
BE01364_20.h2,0,0,0,0,0,0,0,0,0,1
BE01364_21.h1,0,0,0,0,0,0,0,0,1,0
BE01364_21.h2,0,0,0,0,0,1,0,0,0,0
BE01364_22.h1,0,0,0,0,0,0,0,0,1,0
BE01364_22.h2,0,0,0,0,0,0,0,0,1,0
BE01364_23.h1,0,0,0,0,0,0,0,0,1,0
BE01364_23.h2,0,0,0,0,0,0,0,0,0,1
BE01364_24.h1,0,0,0,0,0,0,0,0,1,0
BE01364_24.h2,0,0,0,0,0,0,0,0,1,0
