,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
UK06500_01.h1,1,0,0,0,0,0,0,0,0,0
UK06500_01.h2,0,0,0,0,0,0,0,0,0,1
UK06500_02.h1,1,0,0,0,0,0,0,0,0,0
UK06500_02.h2,0,1,0,0,0,0,0,0,0,0
UK06500_03.h1,1,0,0,0,0,0,0,0,0,0
UK06500_03.h2,0,0,0,0,0,0,0,0,0,1
UK06500_04.h1,0,0,0,0,0,0,0,0,1,0
UK06500_04.h2,0,0,0,0,0,0,0,0,0,1
UK06500_05.h1,0,0,0,0,0,0,0,0,0,1
UK06500_05.h2,0,0,0,0,0,0,0,0,0,1
UK06500_06.h1,0,0,0,0,0,0,0,0,0,1
UK06500_06.h2,1,0,0,0,0,0,0,0,0,0
UK06500_07.h1,0,0,0,0,0,0,0,0,0,1
UK06500_07.h2,0,1,0,0,0,0,0,0,0,0
UK06500_08.h1,0,0,0,0,0,0,0,0,0,1
UK06500_08.h2,1,0,0,0,0,0,0,0,0,0
UK06500_09.h1,1,0,0,0,0,0,0,0,0,0
UK06500_09.h2,0,0,0,0,0,0,0,0,0,1
UK06500_10.h1,0,0,0,0,0,0,0,0,0,1
UK06500_10.h2,0,1,0,0,0,0,0,0,0,0
UK06500_11.h1,0,0,0,0,0,0,0,0,0,1
UK06500_11.h2,0,0,0,0,0,0,0,0,0,1
UK06500_12.h1,0,0,0,0,0,0,0,1,0,0
UK06500_12.h2,1,0,0,0,0,0,0,0,0,0
UK06500_13.h1,1,0,0,0,0,0,0,0,0,0
UK06500_13.h2,0,0,0,0,0,0,0,1,0,0
UK06500_15.h1,0,0,0,0,0,0,0,0,0,1
UK06500_15.h2,0,0,0,0,0,0,0,0,0,1
UK06500_16.h1,0,0,0,0,0,0,0,0,0,1
UK06500_16.h2,1,0,0,0,0,0,0,0,0,0
UK06500_17.h1,0,0,0,0,0,0,0,1,0,0
UK06500_17.h2,1,0,0,0,0,0,0,0,0,0
UK06500_18.h1,0,0,0,0,0,0,0,0,0,1
UK06500_18.h2,1,0,0,0,0,0,0,0,0,0
UK06500_19.h1,1,0,0,0,0,0,0,0,0,0
UK06500_19.h2,1,0,0,0,0,0,0,0,0,0
UK06500_20.h1,1,0,0,0,0,0,0,0,0,0
UK06500_20.h2,1,0,0,0,0,0,0,0,0,0
UK06500_21.h1,1,0,0,0,0,0,0,0,0,0
UK06500_21.h2,1,0,0,0,0,0,0,0,0,0
UK06500_23.h1,0,0,0,0,0,0,0,0,0,1
UK06500_23.h2,1,0,0,0,0,0,0,0,0,0
UK06500_24.h1,0,0,0,0,0,0,0,1,0,0
UK06500_24.h2,1,0,0,0,0,0,0,0,0,0
